Age,Gender,Mobile Phone,Mobile phone use for education,Mobile phone activities,Helpful for studying,Daily usages,Performance impact,Usage distraction,Attention span,Useful features,Health Risks,Usage symptoms,Symptom frequency,Health precautions,Health rating,Year
26-30,Male,Yes,Sometimes,Social Media,Yes,4-6 hours,Agree,During Class Lectures,No,Notes Taking App,Yes,All of these,Sometimes,Limiting Screen Time,Good,2024
21-25,Male,Yes,Frequently,All of these,Yes,2-4 hours,Agree,While Studying,Yes,Internet Access,No,All of these,Rarely,Limiting Screen Time,Good,2024
21-25,Male,Yes,Rarely,Messaging,Yes,4-6 hours,Disagree,While Studying,Yes,Camera,Yes,Sleep disturbance,Rarely,Using Blue light filter,Good,2024
21-25,Male,Yes,Frequently,All of these,Yes,> 6 hours,Agree,During Exams,Yes,Internet Access,Yes,All of these,Sometimes,Limiting Screen Time,Excellent,2024
31-35,Male,Yes,Never,All of these,No,< 2 hours,Neutral,Not Distracting,No,Calculator,Only Partially,All of these,Never,None of Above,Excellent,2024
21-25,Female,Yes,Sometimes,Social Media;Web-browsing;Messaging;All of these,Yes,> 6 hours,Strongly agree,During Class Lectures,Yes,Internet Access,Yes,Headache;Sleep disturbance;Anxiety or Stress;All of these,Sometimes,None of Above,Excellent,2024
21-25,Male,Yes,Frequently,All of these,Yes,2-4 hours,Strongly agree,During Class Lectures,No,Internet Access,Only Partially,All of these,Never,Limiting Screen Time,Excellent,2024
21-25,Male,Yes,Sometimes,Social Media,Yes,4-6 hours,Neutral,During Exams,Yes,Notes Taking App,Yes,All of these,Sometimes,Taking Break during prolonged use,Good,2024
21-25,Male,Yes,Rarely,All of these,Yes,> 6 hours,Neutral,Not Distracting,Yes,Internet Access,Only Partially,Headache,Sometimes,None of Above,Good,2024
21-25,Male,Yes,Never,All of these,No,> 6 hours,Strongly disagree,During Class Lectures,Yes,Internet Access,No,Headache,Never,Using Blue light filter,Excellent,2024
21-25,Male,Yes,Frequently,All of these,Yes,2-4 hours,Strongly agree,During Class Lectures,No,Internet Access,Only Partially,All of these,Never,Limiting Screen Time,Excellent,2024
21-25,Male,Yes,Never,All of these,No,> 6 hours,Strongly disagree,During Class Lectures,Yes,Internet Access,No,Headache,Never,Using Blue light filter,Excellent,2024
21-25,Male,Yes,Sometimes,All of these,No,> 6 hours,Neutral,During Exams,Yes,Calculator,No,Sleep disturbance,Rarely,Limiting Screen Time,Excellent;Good;Fair;Poor,2024
21-25,Male,Yes,Sometimes,All of these,Yes,4-6 hours,Disagree,While Studying,Yes,Camera,Yes,Sleep disturbance,Sometimes,Taking Break during prolonged use,Fair,2024
21-25,Male,Yes,Sometimes,All of these,Yes,4-6 hours,Neutral,While Studying,Yes,Internet Access,No,Sleep disturbance;Anxiety or Stress,Rarely,None of Above,Good,2024
21-25,Male,Yes,Frequently,All of these,Yes,2-4 hours,Agree,While Studying,Yes,Internet Access,Yes,All of these,Sometimes,Taking Break during prolonged use,Excellent,2024
16-20,Male,Yes,Frequently,All of these,Yes,2-4 hours,Agree,While Studying,Yes,Internet Access,Yes,Sleep disturbance,Sometimes,Limiting Screen Time,Good,2024
